demand_change,staff,price_change,inventory_level,base_wait_time_minutes,base_revenue_per_day,base_stockout_risk,base_staff_utilisation,baseline_staff_count,wait_time,revenue,staff_utilisation,inventory_usage
10,9,25,70,11,3396,29,72,11,14,4553,100,18
-20,4,0,70,20,521,43,80,3,13,397,47,18
-35,16,0,0,11,5135,44,79,6,4,3184,18,40
10,5,10,20,14,4563,70,68,5,15,5407,72,90
20,14,30,5,27,2871,76,54,4,12,4416,19,100
40,2,15,95,13,4386,22,68,11,58,7411,100,8
-5,12,-10,60,14,4512,30,66,11,13,4049,59,19
5,6,-25,70,14,4823,74,53,7,17,3657,68,43
20,14,-20,40,11,4101,33,57,9,10,3869,45,36
-40,18,-10,0,23,3994,72,82,5,6,2155,14,57
20,15,-15,25,15,660,25,85,8,13,650,52,33
-20,8,-5,40,22,2692,33,82,6,14,2069,49,24
-30,7,-15,30,22,1715,22,75,6,13,1001,43,16
-30,10,-10,70,27,4965,41,55,11,20,3234,44,16
-35,13,20,20,16,3501,79,67,11,9,2798,35,57
-35,11,10,75,28,4988,54,80,11,18,3513,52,19
20,7,30,65,14,5146,20,63,3,9,8147,33,16
40,10,15,15,13,1265,13,60,7,14,2081,61,23
-30,14,0,45,17,3025,40,61,6,7,2119,18,24
5,13,-5,10,8,1315,76,52,11,7,1312,44,100
-45,8,-20,70,19,1020,78,77,9,11,451,49,24
-35,2,-25,5,13,4197,57,70,12,29,2025,98,49
35,11,-20,95,27,1964,46,80,12,40,2136,100,16
0,16,5,70,19,3503,78,85,10,14,3726,54,46
-10,18,-10,90,16,2368,47,80,9,9,1955,35,14
50,10,-15,65,24,4561,60,56,11,40,5841,92,54
0,18,10,40,17,3887,60,68,3,5,4104,11,54
35,17,10,5,8,1986,59,59,11,8,3070,54,98
-40,13,-15,50,13,1930,61,68,7,5,946,23,30
45,3,-30,0,15,1821,26,85,8,44,1819,100,51
25,16,-10,20,24,3278,19,52,10,22,3825,42,28
45,4,-25,55,22,1636,64,58,4,33,1797,84,67
45,11,15,5,28,3692,30,51,6,28,6317,39,60
-5,4,10,50,11,5189,16,54,12,22,5408,100,12
0,14,-20,100,25,2405,24,68,10,20,1921,48,5
-50,18,-10,40,13,3272,12,73,3,2,1511,6,6
-45,12,5,50,18,3115,41,70,3,4,1710,10,17
-15,15,30,25,20,5465,42,51,8,11,6004,23,40
-40,15,5,95,25,3136,10,82,3,5,1973,10,2
10,18,10,100,28,5820,67,84,11,21,6753,59,14
0,18,10,80,14,5124,42,83,9,9,5442,41,18
-45,3,-15,65,15,3995,79,64,10,19,1778,100,28
-25,12,25,45,16,5131,54,61,7,8,5049,26,35
-45,13,20,45,20,5092,37,71,4,5,3254,12,18
5,11,10,90,24,500,14,53,12,26,551,61,5
25,13,-30,40,25,2401,24,76,9,23,2128,67,29
10,9,5,40,20,1570,19,75,10,23,1890,96,19
10,7,10,100,26,4313,34,82,8,32,5080,97,7
50,11,30,0,21,3819,80,59,12,32,7779,95,100
-10,5,-15,95,21,2237,46,63,7,23,1723,82,11
5,18,5,85,17,3970,42,71,9,11,4337,36,16
20,8,-10,0,10,4070,29,51,7,11,4236,55,48
-25,13,-10,35,20,3073,67,53,4,7,2154,12,51
-5,4,10,60,23,5672,38,63,4,23,5970,58,24
40,2,0,50,20,5869,47,74,8,77,8533,96,52
45,8,15,55,17,2284,36,62,9,28,3954,97,39
0,11,15,60,16,5984,25,65,3,6,6571,17,17
30,11,-5,35,28,4493,41,62,10,33,5596,71,50
35,8,-25,95,8,4638,50,52,9,12,4550,82,17
50,10,-5,0,16,788,37,67,7,18,1175,72,76
-40,4,10,80,28,5187,73,58,10,32,3533,84,18
35,19,30,20,10,559,77,74,9,8,994,48,100
-50,17,-20,55,15,927,29,82,12,6,360,28,11
-50,19,-10,100,27,4727,20,62,5,5,2156,8,2
15,12,-30,90,22,3932,39,79,5,14,3039,40,14
-30,13,5,55,16,2729,34,65,10,9,2031,36,18
40,18,0,80,11,3024,56,64,4,5,4413,20,35
45,2,0,90,13,3212,66,62,10,57,4870,96,32
25,10,-15,25,15,1984,24,51,10,18,2057,61,34
-45,15,5,45,15,4035,51,60,10,6,2386,22,24
-15,12,30,30,16,2761,30,74,6,8,3095,32,27
50,18,25,60,18,2637,70,59,3,8,4706,14,73
-35,5,-20,40,28,3147,60,80,11,31,1689,99,35
-45,15,15,90,18,1889,53,72,5,5,1230,13,9
0,19,-5,100,25,973,72,75,11,17,889,44,14
5,18,-5,35,19,744,30,84,12,15,744,57,30
40,6,-15,100,21,1858,31,57,5,27,2319,68,9
25,4,5,45,20,2445,44,67,7,38,3118,100,48
10,3,-10,15,26,1048,47,77,5,39,1038,96,65
0,5,10,55,19,5116,79,56,3,13,5790,34,56
-25,5,20,45,10,2073,54,76,10,13,1865,100,36
20,18,-10,20,9,3286,54,59,12,8,3628,49,73
30,2,-15,50,21,5999,64,76,11,94,6830,100,68
45,8,5,0,15,1600,62,57,9,23,2504,91,95
-35,4,30,100,15,2316,73,76,5,11,1892,63,9
20,17,20,70,23,1848,28,64,5,13,2570,23,20
-15,19,30,75,11,1590,46,81,7,5,1680,24,20
-10,3,10,90,12,920,12,56,5,16,947,83,3
-20,11,-20,25,22,3099,44,85,8,13,2061,49,40
-40,3,5,100,14,1781,25,67,7,15,1125,94,3
0,15,-25,0,13,1740,40,83,11,10,1294,62,54
45,4,15,85,18,3871,34,73,8,41,6449,97,19
-5,3,0,35,13,2507,32,58,10,28,2366,100,30
-5,2,5,10,11,5047,25,70,7,26,5070,100,31
15,8,-15,70,27,5636,64,78,9,33,5335,96,43
20,10,5,30,20,5306,32,64,12,28,6842,88,40
45,5,-25,5,16,2044,69,80,9,33,2319,98,100
-20,10,20,75,25,2239,22,53,7,16,2208,30,9
45,13,15,30,11,797,11,77,3,6,1273,25,17
-5,2,15,100,18,3095,36,53,12,60,3240,97,7
-50,4,15,75,16,1655,38,77,4,8,947,41,10
-45,3,30,60,28,3043,39,64,4,20,2213,45,16
45,13,-5,25,22,1671,23,73,12,30,2403,95,39
-15,8,-5,35,18,5857,64,66,3,8,4538,22,53
-50,16,15,75,17,4091,61,81,4,3,2336,10,16
30,12,-20,45,11,5361,77,70,12,14,5393,93,87
-40,4,0,15,28,5793,47,60,7,25,3389,62,33
-40,20,-25,45,9,1423,75,65,8,3,668,16,40
5,9,-30,30,10,5571,65,77,8,10,4015,73,73
-35,19,30,0,15,5312,48,58,3,3,4693,6,43
-20,7,-20,25,28,1025,36,54,4,15,639,26,31
-20,15,-20,90,19,4333,19,82,8,10,2854,36,5
-45,2,30,70,15,4618,22,61,4,13,3243,66,7
-5,7,-25,65,20,4412,60,50,6,17,3204,39,36
10,16,5,55,27,1536,10,76,4,12,1838,21,8
40,18,-20,5,27,2777,20,73,6,18,3011,35,40
-50,18,-10,30,23,5646,45,83,4,4,2662,9,22
35,18,0,55,14,1024,69,84,3,5,1398,19,70
